market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
us,CEG,Constellation Energy Corporation - Common Stock When-Issued,wait_entry,Wait for trigger,268.69000244140625,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CEG/risk_plan.html
us,CGNX,Cognex Corporation - Common Stock,wait_entry,Wait for trigger,66.54000091552734,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CGNX/risk_plan.html
us,CHYM,Chime Financial,wait_entry,Wait for trigger,18.270000457763672,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CHYM/risk_plan.html
us,CNH,CNH Industrial N.V. Common Shares,wait_entry,Wait for trigger,10.930000305175781,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CNH/risk_plan.html
us,COLD,Americold Realty Trust,wait_entry,Wait for trigger,14.930000305175781,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-COLD/risk_plan.html
us,CP,Canadian Pacific Kansas City Limited Common Shares,wait_entry,Wait for trigger,87.04000091552734,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CP/risk_plan.html
us,CRBG,Corebridge Financial Inc. Common Stock,wait_entry,Wait for trigger,28.139999389648438,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-CRBG/risk_plan.html
us,EMR,Emerson Electric Company Common Stock,wait_entry,Wait for trigger,145.33999633789062,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-EMR/risk_plan.html
us,ENB,Enbridge Inc Common Stock,wait_entry,Wait for trigger,56.189998626708984,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-ENB/risk_plan.html
us,EQH,Equitable Holdings,wait_entry,Wait for trigger,43.84000015258789,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-EQH/risk_plan.html
us,FROG,JFrog Ltd. - Ordinary shares,wait_entry,Wait for trigger,78.80000305175781,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-FROG/risk_plan.html
us,GPN,Global Payments Inc. Common Stock,wait_entry,Wait for trigger,68.16000366210938,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-GPN/risk_plan.html
us,GSK,GSK plc American Depositary Shares,wait_entry,Wait for trigger,51.88999938964844,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-GSK/risk_plan.html
us,GTX,Garrett Motion Inc. - Common Stock,wait_entry,Wait for trigger,35.0099983215332,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-GTX/risk_plan.html
us,HUT,Hut 8 Corp. - Common Stock,wait_entry,Wait for trigger,117.68000030517578,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-HUT/risk_plan.html
us,JCI,Johnson Controls International plc Ordinary Share,wait_entry,Wait for trigger,145.49000549316406,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-JCI/risk_plan.html
us,KHC,The Kraft Heinz Company - Common Stock,wait_entry,Wait for trigger,23.469999313354492,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-KHC/risk_plan.html
us,KNX,Knight-Swift Transportation Holdings Inc.,wait_entry,Wait for trigger,77.06999969482422,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-KNX/risk_plan.html
us,LITE,Lumentum Holdings Inc. - Common Stock,wait_entry,Wait for trigger,861.969970703125,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-LITE/risk_plan.html
us,MOS,Mosaic Company  Common Stock,wait_entry,Wait for trigger,21.729999542236328,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-MOS/risk_plan.html
us,MUFG,Mitsubishi UFJ Financial Group,wait_entry,Wait for trigger,20.020000457763672,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-MUFG/risk_plan.html
us,MWH,SOLV Energy,wait_entry,Wait for trigger,36.84000015258789,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-MWH/risk_plan.html
us,MXL,MaxLinear,wait_entry,Wait for trigger,94.47000122070312,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-MXL/risk_plan.html
us,OKE,ONEOK,wait_entry,Wait for trigger,89.5199966430664,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-OKE/risk_plan.html
us,OUST,Ouster,wait_entry,Wait for trigger,41.81999969482422,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-OUST/risk_plan.html
us,PAYX,Paychex,wait_entry,Wait for trigger,96.72000122070312,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-PAYX/risk_plan.html
us,RITM,Rithm Capital Corp. Common Stock,wait_entry,Wait for trigger,9.319999694824219,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-RITM/risk_plan.html
us,STZ,Constellation Brands,wait_entry,Wait for trigger,144.4499969482422,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-STZ/risk_plan.html
us,TPG,TPG Inc. - Class A Common Stock,wait_entry,Wait for trigger,40.02000045776367,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-TPG/risk_plan.html
us,TSCO,Tractor Supply Company - Common Stock,wait_entry,Wait for trigger,30.75,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-TSCO/risk_plan.html
us,TXN,Texas Instruments Incorporated - Common Stock,wait_entry,Wait for trigger,311.80999755859375,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-TXN/risk_plan.html
us,VIAV,Viavi Solutions Inc. - Common Stock,wait_entry,Wait for trigger,50.439998626708984,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-VIAV/risk_plan.html
us,VLO,Valero Energy Corporation Common Stock,wait_entry,Wait for trigger,255.05999755859375,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-VLO/risk_plan.html
us,VRT,Vertiv Holdings,wait_entry,Wait for trigger,325.57000732421875,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-VRT/risk_plan.html
us,VSH,Vishay Intertechnology,wait_entry,Wait for trigger,59.90999984741211,2026-06-25 16:00:00 America/New_York,0% pre-trigger,0.50% post-trigger research budget only after evidence gate closes,not quantified; requires support/stop and valuation tie-out,not quantified; requires ADV and exit-days check,No hedge proposed; research queue only,"Only re-underwrite after official evidence, valuation, and technical confirmation",Not applicable before model position exists,Remove from queue if trigger fails or evidence gap widens,No model capital allocated in this preliminary PEI screen,Next market close and evidence refresh,reports/public-equity-batch/2026-06-25-us-kline/companies/us-VSH/risk_plan.html
