market_key,symbol,company,category,recommendation_label,current_price,price_as_of,model_portfolio_size,risk_budget,downside_or_stop_distance,liquidity_cap,hedge_posture,add_rule,trim_rule,exit_rule,max_loss_posture,monitoring_cadence,risk_plan
tw,3037,欣興,wait_entry,Wait for trigger,974.0,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-3037/risk_plan.html
tw,3189,景碩,wait_entry,Wait for trigger,727.0,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-3189/risk_plan.html
tw,3374,精材,wait_entry,Wait for trigger,303.5,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-3374/risk_plan.html
tw,3406,玉晶光,wait_entry,Wait for trigger,741.0,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-3406/risk_plan.html
tw,3443,創意,wait_entry,Wait for trigger,4725.0,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-3443/risk_plan.html
tw,3481,群創,wait_entry,Wait for trigger,66.0,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-3481/risk_plan.html
tw,3707,漢磊,wait_entry,Wait for trigger,100.5,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-3707/risk_plan.html
tw,3711,日月光投控,wait_entry,Wait for trigger,662.0,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-3711/risk_plan.html
tw,3715,定穎投控,wait_entry,Wait for trigger,180.0,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-3715/risk_plan.html
tw,6116,彩晶,wait_entry,Wait for trigger,19.0,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-6116/risk_plan.html
tw,6147,頎邦,wait_entry,Wait for trigger,258.0,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-6147/risk_plan.html
tw,6213,聯茂,wait_entry,Wait for trigger,281.0,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-6213/risk_plan.html
tw,8046,南電,wait_entry,Wait for trigger,909.0,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-8046/risk_plan.html
tw,8299,群聯,wait_entry,Wait for trigger,2430.0,2026-06-23T00:00:00+08:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/tw-8299/risk_plan.html
us,AAPL,蘋果,wait_entry,Wait for trigger,294.3,2026-06-23T00:00:00-04:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/us-AAPL/risk_plan.html
us,GOOG,Google,wait_entry,Wait for trigger,346.08,2026-06-23T00:00:00-04:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/us-GOOG/risk_plan.html
us,MRVL,美滿電子,wait_entry,Wait for trigger,279.04,2026-06-23T00:00:00-04:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/us-MRVL/risk_plan.html
us,MU,美光,wait_entry,Wait for trigger,1051.77,2026-06-23T00:00:00-04:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/us-MU/risk_plan.html
us,SNDK,Sandisk,wait_entry,Wait for trigger,1963.6,2026-06-23T00:00:00-04:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/us-SNDK/risk_plan.html
us,SPCX,SpaceX,wait_entry,Wait for trigger,156.11,2026-06-23T00:00:00-04:00,0%,0.0,not independently verified,not independently verified,No hedge; model portfolio remains cash for this name until evidence clears,Reassess only after source triggers and independent evidence are verified,No model position opened in this batch artifact,"If source thesis or price trigger fails, remain watch-only/not decision-ready",0 units at risk because model size is 0%,Daily source/price check while in KOL/news candidate set,reports/public-equity-batch/2026-06-24/companies/us-SPCX/risk_plan.html
