symbol,company,result_status,handoff_statuses,required_objects,next_workflows,packet_json,expected_result_path,template_md,validate_results_report_json
BABA,阿里巴巴,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/us-BABA.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/us-BABA.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/us-BABA.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
CPRT,Copart Inc,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/us-CPRT.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/us-CPRT.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/us-CPRT.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
CRCL,Circle Internet Group,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/us-CRCL.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/us-CRCL.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/us-CRCL.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
GOOGL,Alphabet 公司,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/us-GOOGL.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/us-GOOGL.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/us-GOOGL.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
LVS,Las Vegas Sands Corp,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/us-LVS.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/us-LVS.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/us-LVS.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
MU,Micron Technology,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/us-MU.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/us-MU.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/us-MU.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
NFLX,Netflix Inc,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_partial""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/us-NFLX.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/us-NFLX.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/us-NFLX.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
PLTR,Palantir Technologies Inc,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/us-PLTR.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/us-PLTR.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/us-PLTR.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
SOFI,SoFi Technologies Inc,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/us-SOFI.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/us-SOFI.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/us-SOFI.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
SPCX,太空探索科技公司,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/us-SPCX.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/us-SPCX.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/us-SPCX.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
TSLA,特斯拉 / Tesla,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/us-TSLA.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/us-TSLA.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/us-TSLA.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
TSM,Taiwan Semiconductor,missing,"{""quote"": ""resolved"", ""official_evidence"": ""missing"", ""valuation"": ""input_partial"", ""risk"": ""input_ready""}",official_validation; research_underwrite; investment_horizon; valuation; risk_assessment,official-evidence review; company-tearsheet + initiating-coverage; comps-valuation; portfolio-risk-management,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/input_packets/us-TSM.packet.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/us-TSM.result.json,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/result_templates/us-TSM.result.template.md,reports/public-equity-batch/2026-08-06-inventory/specialist_workorders/validate_results_report.json
